,Tel1,Tel2,Tel3,Les1,Les2,Les3,Sensi1,Sensi2,Sensi3,Genus,Species,Grouping
18S_128,0,0,0,0,0,0,0,0,0.210913264,Euplotespora,Microsporidium sp.,Others
18S_140,0.224771625,0,0,0,0,0,0,0,0,Euplotespora,Microsporidium sp.,Others
18S_149,0,0,0.112518783,0.062517548,0,0,0,0,0,Chlamydomyzium,Chlamydomyzium_sp.,Others
18S_171,0,0,0,0,0,0,0,0,0.140293576,NA,Pseudolella sp.,Others
18S_174,0,0,0,0,0.115485011,0,0,0,0,Gryllus,Gryllus_bimaculatus,Others
18S_180,0.161274615,0,0,0,0,0,0,0,0,Euplotespora,Microsporidium sp.,Others
18S_182,0,0,0,0.01310248,0,0,0,0,0,NA,Pseudolella sp.,Others
18S_191,0,0,0,0,0,0.134587554,0,0,0,Endoreticulatus,Microsporidium sp.,Others
18S_230,0.097388052,0,0,0,0,0,0,0,0,Euplotespora,Microsporidium sp.,Others
18S_241,0,0,0,0,0.056160519,0,0,0,0,Endoreticulatus,Microsporidium sp.,Others
18S_246,0,0,0,0,0,0.075615051,0,0,0,Endoreticulatus,Microsporidium sp.,Others
18S_251,0.078299994,0,0,0,0,0,0,0,0,Euplotespora,Microsporidium sp.,Others
18S_270,0,0,0,0,0.045613943,0,0,0,0,Endoreticulatus,Microsporidium sp.,Others
18S_283,0,0,0,0,0,0,0,0,0.051073167,Endoreticulatus,Microsporidium sp.,Others
18S_297,0,0,0,0.052784277,0,0,0,0,0,Endoreticulatus,Microsporidium sp.,Others
18S_304,0,0,0,0.049415068,0,0,0,0,0,Endoreticulatus,Microsporidium sp.,Others
18S_326,0,0,0,0,0,0,0,0,0.005044263,NA,NA,Others
18S_359,0,0,0,0,0,0.019536903,0,0,0,NA,Molgolaimus demani,Others
18S_368,0,0,0,0,0,0.027496382,0,0,0,Euplotespora,Microsporidium sp.,Others
18S_380,0,0,0,0,0,0,0,0.029095632,0,Endoreticulatus,Microsporidium sp.,Others
18S_382,0,0,0,0,0,0,0,0.028673956,0,Endoreticulatus,Microsporidium sp.,Others
18S_419,0,0,0,0,0.005536953,0,0,0,0,Choricystis,Choricystis_sp.,Others
18S_428,0,0,0,0,0.013710549,0,0,0,0,NA,Microsporidia sp.,Others
18S_44,0,0,0,0,0.081735966,1.142908828,0,0,0,Theristus,Theristus_agilis,Others
18S_445,0,0,0,0.01197941,0,0,0,0,0,NA,Microsporidium sp.,Others
18S_446,0,0,0.013174668,0.003369209,0,0,0,0,0,Strombidium_F,Strombidium_F_sp.,Others
18S_460,0,0,0,0.014974263,0,0,0,0,0,NA,Microsporidium sp.,Others
18S_488,0.013244775,0,0,0,0,0,0,0,0,NA,Microsporidium sp.,Others
18S_490,0,0,0,0,0,0,0,0,0.01071906,NA,NA,Others
18S_495,0,0,0,0,0,0.01121563,0,0,0,NA,Microsporidium sp.,Others
18S_512,0,0,0.007477514,0,0,0,0,0,0,Thalassiosira,NA,Others
18S_514,0.01051791,0,0,0,0,0,0,0,0,Aphanostoma,Aphanostoma_sp.,Others
18S_521,0,0,0,0.001871783,0.005009624,0,0,0,0,NA,Microlaimidae sp.,Others
18S_531,0,0,0,0,0,0,0,0,0.006935862,Metschnikowia,Metschnikowia_reukaufii,Others
18S_535,0,0,0,0.007487131,0,0,0,0,0,NA,NA,Others
18S_537,0,0,0,0,0,0.00723589,0,0,0,Acartia,Acartia_tonsa,Others
18S_538,0,0,0,0,0,0.00723589,0,0,0,Candona,Candona_candida,Others
18S_540,0,0,0,0,0,0,0,0,0.005990063,Anostracospora,Anostracospora_rigaudi,Others
18S_542,0,0,0.006409298,0,0,0,0,0,0,Acartia,Acartia_bifilosa,Others
18S_553,0.005843283,0,0,0,0,0,0,0,0,Musa,Musa_basjoo,Others
18S_555,0,0,0,0,0.003691302,0,0,0,0,Citrus,Citrus_sp.,Others
18S_558,0.003895522,0,0,0.00112307,0,0,0,0,0,Acartia,Acartia_bifilosa,Others
18S_559,0,0.006558006,0,0,0,0,0,0,0,Anostracospora,Anostracospora_rigaudi,Others
18S_560,0,0,0,0.004492279,0,0,0,0,0,Ansanella,Ansanella_granifera,Others
18S_562,0,0,0,0,0,0,0.003176797,0,0,NA,NA,Others
18S_563,0,0,0,0,0,0,0,0,0.003783198,Rhynosporidae_X,Rhynosporidae_X_sp.,Others
18S_565,0,0,0,0.004117922,0,0,0,0,0,Selenidium1,Selenidium1_sp.,Others
18S_58,0,0,0,0,0,0,0,0.169092005,0.389669349,Aphanomyces,Aphanomyces_sp.,Others
18S_581,0.003116418,0,0,0,0,0,0,0,0,NA,NA,Others
18S_583,0,0,0,0.002994853,0,0,0,0,0,NA,Cyprinus carpio,Others
18S_584,0,0,0,0,0.002109315,0,0,0,0,NA,NA,Others
18S_585,0,0,0,0,0,0,0,0.003373407,0,NA,NA,Others
18S_596,0,0.00252231,0,0,0,0,0,0,0,NA,NA,Others
18S_597,0,0,0,0,0,0,0.001323665,0,0,NA,Timema poppensis,Others
18S_600,0.001558209,0,0,0,0,0,0,0,0,NA,Cyprinus carpio,Others
18S_602,0,0.001513386,0,0,0,0,0,0,0,Diplosphaera,Diplosphaera_sp.,Others
18S_605,0,0,0,0,0,0.001085384,0,0,0,NA,Goussia bayae,Others
18S_606,0,0,0,0,0,0,0,0,0.000945799,NA,NA,Others
18S_91,0,0,0,0,0.272628998,0,0,0,0,Euplotespora,Microsporidium sp.,Others
